,ss_id,pv_system_id,provider,installed_capacity_kw
229,6979,23958,solar_sheffield_passiv,1.36
230,6990,23991,solar_sheffield_passiv,1.96
231,6991,23999,solar_sheffield_passiv,2.94
232,6994,24008,solar_sheffield_passiv,3.885
233,6998,24026,solar_sheffield_passiv,2.4
234,7001,24042,solar_sheffield_passiv,3.92
235,7017,24149,solar_sheffield_passiv,3.92
236,7019,24183,solar_sheffield_passiv,4.0
237,7025,24237,solar_sheffield_passiv,3.92
238,7033,24294,solar_sheffield_passiv,3.92
239,7043,24338,solar_sheffield_passiv,3.92
240,7044,24342,solar_sheffield_passiv,3.92
241,7050,24366,solar_sheffield_passiv,2.5
242,7060,24444,solar_sheffield_passiv,3.92
243,7061,24446,solar_sheffield_passiv,3.92
244,7085,24567,solar_sheffield_passiv,3.92
245,7088,24579,solar_sheffield_passiv,3.92
246,7090,24586,solar_sheffield_passiv,3.92
247,7093,24596,solar_sheffield_passiv,3.92
248,7116,24849,solar_sheffield_passiv,2.88
249,7119,24873,solar_sheffield_passiv,3.92
250,7120,24880,solar_sheffield_passiv,3.92
251,7136,24992,solar_sheffield_passiv,3.92
252,7149,25087,solar_sheffield_passiv,1.92
253,7151,25128,solar_sheffield_passiv,3.92
254,7152,25129,solar_sheffield_passiv,3.92
255,7159,25194,solar_sheffield_passiv,3.92
256,7163,25210,solar_sheffield_passiv,3.0
257,7166,25221,solar_sheffield_passiv,4.0
258,7171,25325,solar_sheffield_passiv,1.71
259,7173,25445,solar_sheffield_passiv,2.0
260,7176,25526,solar_sheffield_passiv,4.0
261,7177,25726,solar_sheffield_passiv,4.0
262,7184,26066,solar_sheffield_passiv,4.0
263,7190,26075,solar_sheffield_passiv,3.5
264,7194,26189,solar_sheffield_passiv,1.5
265,7199,26365,solar_sheffield_passiv,4.0
266,7202,26473,solar_sheffield_passiv,4.0
267,7213,26547,solar_sheffield_passiv,3.0
268,7229,27085,solar_sheffield_passiv,2.5
269,7230,27086,solar_sheffield_passiv,4.0
270,7239,27208,solar_sheffield_passiv,2.04
271,7240,27308,solar_sheffield_passiv,3.5
272,7243,27347,solar_sheffield_passiv,4.0
273,7245,27351,solar_sheffield_passiv,4.0
274,7247,27368,solar_sheffield_passiv,2.5
275,7248,27411,solar_sheffield_passiv,4.0
276,7274,27685,solar_sheffield_passiv,3.25
277,7275,27707,solar_sheffield_passiv,1.5
278,7276,27710,solar_sheffield_passiv,3.92
279,7286,27770,solar_sheffield_passiv,3.92
280,7287,27778,solar_sheffield_passiv,3.0
281,7290,27787,solar_sheffield_passiv,3.92
282,7291,27788,solar_sheffield_passiv,3.0
283,7312,27934,solar_sheffield_passiv,4.0
284,7313,27935,solar_sheffield_passiv,2.5
285,7317,27944,solar_sheffield_passiv,2.5
286,7338,28085,solar_sheffield_passiv,3.92
287,7344,28129,solar_sheffield_passiv,1.52
288,7351,28171,solar_sheffield_passiv,3.92
289,7368,28405,solar_sheffield_passiv,1.5
290,7369,28407,solar_sheffield_passiv,3.92
291,7390,28563,solar_sheffield_passiv,3.06
292,7395,28586,solar_sheffield_passiv,3.92
293,7396,28587,solar_sheffield_passiv,3.92
294,7399,28646,solar_sheffield_passiv,3.92
295,7401,28765,solar_sheffield_passiv,3.92
296,7402,28766,solar_sheffield_passiv,2.94
297,7408,28825,solar_sheffield_passiv,3.92
298,7410,28847,solar_sheffield_passiv,2.55
299,7411,28856,solar_sheffield_passiv,2.94
300,7412,28863,solar_sheffield_passiv,2.55
301,7445,29018,solar_sheffield_passiv,3.92
302,7447,29026,solar_sheffield_passiv,3.92
303,7451,29047,solar_sheffield_passiv,3.92
304,7452,29070,solar_sheffield_passiv,3.92
305,7464,29366,solar_sheffield_passiv,3.92
306,7468,29516,solar_sheffield_passiv,3.92
307,7471,29546,solar_sheffield_passiv,3.92
308,7473,29552,solar_sheffield_passiv,3.92
309,7478,29811,solar_sheffield_passiv,4.0
310,7487,29927,solar_sheffield_passiv,3.0
311,7490,29946,solar_sheffield_passiv,2.25
312,7495,30027,solar_sheffield_passiv,4.0
313,7498,30085,solar_sheffield_passiv,3.92
314,7519,30286,solar_sheffield_passiv,3.0
315,7521,30305,solar_sheffield_passiv,4.0
316,7527,30527,solar_sheffield_passiv,3.0
317,7528,30528,solar_sheffield_passiv,1.75
318,7533,30669,solar_sheffield_passiv,2.5
319,7534,30705,solar_sheffield_passiv,3.5
320,7537,30765,solar_sheffield_passiv,3.5
321,7547,31157,solar_sheffield_passiv,3.0
322,7548,31167,solar_sheffield_passiv,3.0
323,7550,31186,solar_sheffield_passiv,4.0
324,7553,31225,solar_sheffield_passiv,4.0
325,7556,31261,solar_sheffield_passiv,2.5
326,7557,31291,solar_sheffield_passiv,4.0
327,7560,31347,solar_sheffield_passiv,4.0
328,7562,31355,solar_sheffield_passiv,4.0
329,7566,31368,solar_sheffield_passiv,4.0
330,7568,31396,solar_sheffield_passiv,3.0
331,7569,31449,solar_sheffield_passiv,3.25
332,7579,31466,solar_sheffield_passiv,4.0
333,7581,31485,solar_sheffield_passiv,4.0
334,7585,31516,solar_sheffield_passiv,3.0
335,7593,31565,solar_sheffield_passiv,4.0
336,7603,31650,solar_sheffield_passiv,3.5
337,7608,31675,solar_sheffield_passiv,2.75
338,7633,31754,solar_sheffield_passiv,2.0
339,7635,31756,solar_sheffield_passiv,3.0
340,7636,31758,solar_sheffield_passiv,3.0
341,7640,31905,solar_sheffield_passiv,4.0
342,7644,32166,solar_sheffield_passiv,4.0
343,7648,32505,solar_sheffield_passiv,3.0
344,7660,32885,solar_sheffield_passiv,3.5
345,7661,32925,solar_sheffield_passiv,2.94
346,7664,33206,solar_sheffield_passiv,3.0
347,7670,33507,solar_sheffield_passiv,2.0
